date,TICKER,CUSIP,COMNAM,RET,VOL_CHANGE,BA_SPREAD,ILLIQUIDITY,sprtrn,TURNOVER,PRC,SHROUT,MARKET_CAP,TRAN_COST,ASK,BID
1997-12-24,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,-0.0125,-0.9779822335025381,0.0189873417721519,-4.929600377015837e-08,-0.006836,0.311135344723131,19.75,41265.0,814983.75,0.1875,20.125,19.75
1997-12-26,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.025316,23.311472856141442,0.012345679012345678,4.0052311964572154e-09,0.004031,7.56415848782261,20.25,41265.0,835616.25,0.125,20.25,20.0
1997-12-29,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.04321,-0.6547167091162478,0.023668639053254437,1.897883356049407e-08,0.018047,2.6117775354416577,21.125,41265.0,871723.125,0.25,21.125,20.625
1997-12-30,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.0,0.5404685687775459,0.01775147928994083,0.0,0.018335,4.023361201987156,21.125,41265.0,871723.125,0.1875,21.5,21.125
1997-12-31,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.059172,0.3736568207006217,0.01675977653631285,1.1595889937814072e-08,-0.000422,5.526717557251908,22.375,41265.0,923304.375,0.1875,22.75,22.375
1998-01-02,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.03352,-0.8766771902131019,0.021621621621621623,5.153825825825826e-08,0.00475,0.6815703380588877,23.125,41265.0,954253.125,0.25,23.125,22.625
1998-01-05,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,-0.027027,4.616746666666667,0.016666666666666666,-7.603927303112596e-09,0.002082,3.8282079243911307,22.5,41265.0,928462.5,0.1875,22.75,22.375
1998-01-06,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,-0.036111,0.449645821068424,0.008645533141210375,-7.270943130330688e-09,-0.010736,5.549545619774627,21.6875,41265.0,894934.6875,0.09375,21.875,21.6875
1998-01-07,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.025937,-0.8196522301115274,0.011235955056179775,2.8225372037979163e-08,-0.002669,1.0008481764206956,22.25,41265.0,918146.25,0.125,22.5,22.25
1998-01-08,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.033708,0.4290556900726392,0.010869565217391304,2.4831670914796755e-08,-0.008257,1.4302677814128195,23.0,41265.0,949095.0,0.125,22.75,22.5
1998-01-09,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,-0.043478,-0.4011352084039309,0.011363636363636364,-5.5913784899497166e-08,-0.029654,0.8565370168423604,22.0,41265.0,907830.0,0.125,22.125,21.875
1998-01-12,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,-0.028409,5.56347432451549,0.005847953216374269,-5.7291216857560924e-09,0.012418,5.621858718041924,21.375,41265.0,882039.375,0.0625,21.5,21.375
1998-01-13,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.017544,-0.891803815747502,0.028735632183908046,3.213628245638137e-08,0.013746,0.6082636616987762,21.75,41265.0,897513.75,0.3125,22.0,21.375
1998-01-14,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,-0.014368,4.842669322709163,0.0029154518950437317,-4.570220491151192e-09,0.006113,3.5538834363261844,21.4375,41265.0,884618.4375,0.03125,21.5,21.4375
1998-01-15,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.002915,-0.28738978936386383,0.005813953488372093,1.2973675455608555e-09,-0.007527,2.5325336241366774,21.5,41265.0,887197.5,0.0625,21.5,21.375
1998-01-16,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.034884,-0.8315295918855558,0.016853932584269662,8.905033651704538e-08,0.011339,0.4266569732218587,22.25,41265.0,918146.25,0.1875,22.375,22.0
1998-01-20,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.039326,3.9651255253890723,0.010810810810810811,1.9453919005488513e-08,0.017774,2.1184054283290923,23.125,41265.0,954253.125,0.125,23.125,22.875
1998-01-21,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,-0.005405,-0.5921684817424728,0.016304347826086956,-6.59168045777117e-09,-0.00796,0.8639525021204411,23.0,41265.0,949095.0,0.1875,23.25,22.875
1998-01-22,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,-0.016304,-0.35006030686376255,0.011049723756906077,-3.11000295425483e-08,-0.008004,0.561517024112444,22.625,41265.0,933620.625,0.125,22.875,22.625
1998-01-23,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.027624,1.2910966294074488,0.005376344086021506,2.2380790631568266e-08,-0.00567,1.2864897612989217,23.25,41265.0,959411.25,0.0625,23.375,23.25
1998-01-26,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,-0.016129,1.3451504134722247,0.01639344262295082,-5.663533227104777e-09,-0.000658,3.01701199563795,22.875,41265.0,943936.875,0.1875,22.875,22.5
1998-01-27,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,-0.016393,-0.8030073013807562,0.016666666666666666,-2.9707554649450678e-08,0.012613,0.5943293347873501,22.5,41265.0,928462.5,0.1875,22.875,22.5
1998-01-28,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.005556,0.5779816513761469,0.0055248618784530384,6.345453766756606e-09,0.00871,0.9378407851690295,22.625,41265.0,933620.625,0.0625,22.75,22.625
1998-01-29,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.01105,-0.2997416020671835,0.01092896174863388,1.7825096283749724e-08,0.008215,0.6567308857385193,22.875,41265.0,943936.875,0.125,23.125,22.875
