date,RET,VOL_CHANGE,BA_SPREAD,ILLIQUIDITY,sprtrn,TURNOVER,DJI_Return,day_of_week,day_of_month,month,is_month_start,is_month_end,year,week,RET_ema_12,RET_ema_26,RET_cumulative_sum,RET_cumulative_product,RET_skew_10,RET_kurtosis_10,RET_entropy_10,RSI,OBV
2019-12-10,0.005844,-0.29749137,7.45e-05,9.64e-13,-0.001097,5.084120123,-0.0009989,1,10,12,0,0,2019,50,0.0021610403026655874,0.0024502038831247432,8.207483000000003,-0.0,-0.05400922222901894,-1.654128087834285,2.3025850929940455,52.15529171826063,13.723077982823616
2019-12-11,0.008529,-0.1277707,0.000147764,1.6e-12,0.002908,4.434518535,0.001060913,2,11,12,0,0,2019,50,0.003140726409947805,0.0029004850769673548,8.216012000000003,-0.0,-0.45863942090619697,-1.3421466833063813,2.3025850929940455,55.04219746815191,13.722734918494115
2019-12-12,0.002548,0.744605555,3.68e-05,2.73e-13,0.008575,7.73648567,0.007908983,3,12,12,0,0,2019,50,0.0030495377314942963,0.002874375071266069,8.218560000000004,-0.0,-0.2895889806250416,-1.1326519929526546,2.3025850929940455,51.7680488847537,13.718281432669661
2019-12-13,0.013593,-0.028929094,3.63e-05,1.48e-12,7.3e-05,7.512676151,0.000118373,4,13,12,0,0,2019,50,0.004671608849725943,0.0036683472882093233,8.232153000000004,-0.0,-0.5995939330900494,-1.1305258004752683,2.3025850929940455,53.507696036844024,13.717961910826432
2019-12-16,0.017118,-0.039761257,3.58e-05,1.91e-12,0.007148,7.213962705,0.003572362,0,16,12,0,0,2019,51,0.006586438257460414,0.0046646178594530775,8.249271000000004,-0.0,-1.120241244663141,0.2511808424025221,2.3025850929940455,49.89132024996344,13.717821752395507
2019-12-17,0.001965,-0.109020973,3.57e-05,2.45e-13,0.000335,6.42748947,0.001107439,1,17,12,0,0,2019,51,0.005875447756312658,0.004464646166160257,8.251236000000004,-0.0,-1.2204423259262591,2.0760820093908827,2.3025850929940455,52.69704963630946,13.719473747199375
2019-12-18,-0.002389,0.015651402,0.000142918,-2.94e-13,-0.000432,6.528088692,-0.000986334,2,18,12,0,0,2019,51,0.00460399425534148,0.003956968672370608,8.248847000000003,0.0,-0.7723121290517124,0.42941995731710947,2.3025850929940455,45.18565403411824,13.719405600995067
2019-12-19,0.001001,-0.151751698,0.00021427,1.45e-13,0.004459,5.537440148,0.004875537,3,19,12,0,0,2019,51,0.004049687446827406,0.0037380080299727852,8.249848000000004,0.0,-0.41523679148711323,0.3238664164975041,2.3025850929940455,51.05348993200322,13.718891162738847
2019-12-20,-0.002071,1.804385117,0.000214715,-1.07e-13,0.004945,15.52911474,0.002753251,4,20,12,0,0,2019,51,0.0031080432242385748,0.00330771113886369,8.247777000000003,-0.0,-0.29696319169125596,0.7087383896348304,2.3025850929940455,53.25526996343781,13.713348091659423
2019-12-23,0.016318,-0.642818478,3.52e-05,2.33e-12,0.000866,5.546712834,0.003389181,0,23,12,0,0,2019,52,0.00514034426666341,0.004271436239688602,8.264095000000003,-0.0,0.4331887245992209,-1.3875861576788715,2.3025850929940455,60.813172894236864,13.70152730266748
2019-12-24,0.000951,-0.508822315,3.52e-05,2.76e-13,-0.000195,2.724421568,-0.001263683,1,24,12,0,0,2019,52,0.004495829764099808,0.004025477999711669,8.265046000000003,-0.0,0.59704458246262,-1.4280700376526139,2.3025850929940455,47.31432157205122,13.709346375182086
2019-12-26,0.01984,0.926473692,3.45e-05,2.93e-12,0.005128,5.248526478,0.003715228,3,26,12,0,0,2019,52,0.006856471338853684,0.0051969240738071005,8.284886000000004,-0.0,0.47059295305499504,-1.8470756628193037,2.3025850929940455,51.61880304406376,13.726846536750275
2019-12-27,-0.000379,0.567180493,3.44e-05,-3.58e-14,3.4e-05,8.3347598,0.000833962,4,27,12,0,0,2019,52,0.005743321902106964,0.0047838926609325,8.284507000000003,0.0,0.5025556869050275,-1.8973339229699613,2.3025850929940455,44.380211038127264,13.715378714362307
2019-12-30,0.005935,-0.012922743,0.000240052,5.64e-13,-0.005781,8.227051838,-0.006392651,0,30,12,0,0,2019,1,0.005772810840244354,0.0048691598712337966,8.290442000000002,0.0,0.8256537133710405,-1.208229561791509,2.3025850929940455,56.724483393713705,13.715297120163005
2019-12-31,0.007307,-0.301151107,6.81e-05,9.87e-13,0.002946,5.749466073,0.002680713,1,31,12,0,1,2019,1,0.006008839941745223,0.005049740621512775,8.297749000000003,0.0,1.2012014824147559,0.3387339696411788,2.3025850929940455,50.56375476860237,13.714883940844201
2020-01-02,0.022816,0.344019733,6.67e-05,2.24e-12,0.008379,7.729038621,0.011576012,3,2,1,0,0,2020,1,0.00859455687378442,0.0063657598347340505,8.320565000000004,0.0,0.7664770295754433,-1.0656829463347022,2.3025850929940455,55.01020486887971,13.720219342883299
2020-01-03,-0.009722,0.080281572,0.000100864,-8.93e-13,-0.00706,8.349537993,-0.008102862,4,3,1,0,0,2020,1,0.005776625047048355,0.0051740739210500465,8.310843000000004,-0.0,0.36255171691810045,-0.8152458917148638,2.3025850929940455,46.372741462491724,13.717607141093563
2020-01-06,0.007968,-0.191429465,0.000100067,8.98e-13,0.003533,6.751190401,0.002392187,0,6,1,0,0,2020,2,0.006113759655194762,0.005381031408379673,8.318811000000004,-0.0,0.14370459585856826,-0.7290785986030234,2.3025850929940455,48.399997724441214,13.714220753857713
2020-01-07,-0.004703,-0.058560243,0.000335165,-5.66e-13,-0.002803,6.355839049,-0.004170281,1,7,1,0,0,2020,2,0.004449642785164799,0.0046340661188700675,8.314108000000004,0.0,0.12759334716127407,-0.8867101550992363,2.3025850929940455,44.1001043655064,13.714962770696767
2020-01-08,0.016086,0.186485009,3.29e-05,1.6e-12,0.004902,7.541107753,0.005646934,2,8,1,0,0,2020,2,0.006239851587447137,0.005482357517472285,8.330194000000004,0.0,0.12917776862025596,-0.8686097214554296,2.3025850929940455,53.70507391256435,13.718839607548867
2020-01-09,0.021241,0.288296821,6.46e-05,1.61e-12,0.006655,9.715185148,0.007368582,3,9,1,0,0,2020,2,0.008547720573993731,0.0066496643680298935,8.351435000000004,0.0,-0.25605169510163384,-1.160471814919891,2.3025850929940455,56.17409753140612,13.720325777661122
2020-01-10,0.002261,-0.173860693,3.22e-05,2.07e-13,-0.002855,8.026096327,-0.004597552,4,10,1,0,0,2020,2,0.007580532793379311,0.006324578118546198,8.353696000000005,0.0,0.13314547156098128,-0.8233958212971016,2.3025850929940455,50.304415473970074,13.723625653614262
2020-01-13,0.021364,-0.133127098,3.16e-05,2.21e-12,0.006976,6.957605416,0.002889325,0,13,1,0,0,2020,3,0.009701066209782495,0.007438609369024257,8.375060000000005,0.0,-0.2869194049719367,-1.001850941195023,2.3025850929940455,55.25483776935669,13.721082526661167
2020-01-14,-0.013503,0.331736199,3.2e-05,-1.06e-12,-0.001515,9.265694988,0.001128415,1,14,1,0,0,2020,3,0.0061312098698159566,0.005887379045392831,8.361557000000005,-0.0,-0.29125872241603057,-1.3822473213021513,2.3025850929940455,43.773359558679225,13.709515880610635
2020-01-15,-0.004286,-0.25032165,3.22e-05,-4.52e-13,0.00187,6.946290933,0.00312895,2,15,1,0,0,2020,3,0.004528562197536579,0.005133795412400769,8.357271000000004,0.0,-0.024675856229880735,-1.7643904070958618,2.3025850929940455,48.877687912803836,13.707208665962584
2020-01-16,0.012526,-0.092785549,0.000126824,1.44e-12,0.008367,6.301775514,0.009211777,3,16,1,0,0,2020,3,0.0057589372440694135,0.005681366122593305,8.369797000000004,0.0,-0.029478838312254146,-1.5454211148803256,2.3025850929940455,48.4184988496601,13.705648755312795
