date,RET,VOL_CHANGE,BA_SPREAD,ILLIQUIDITY,sprtrn,TURNOVER,DJI_Return
9/24/1997,-0.054054,0.064568425,0.001190476,-1.50E-09,-0.007826,28.84387443,-0.007954718
9/25/1997,-0.067857,-0.393560752,0.006385696,-3.32E-09,-0.006956,17.4920575,-0.007424108
9/26/1997,0.021711,-0.451374529,0.01,1.90E-09,0.007794,9.59658829,0.009454663
9/29/1997,-0.03,-0.1283777,0.007731959,-3.10E-09,0.008591,8.36460036,0.00873491
9/30/1997,0.073454,1.219560958,0.00120048,3.19E-09,-0.006357,18.56574039,-0.005768714
10/1/1997,-0.073229,-0.05435931,0.007772021,-3.62E-09,0.008582,17.55651955,0.008835437
10/2/1997,-0.002591,-0.624618925,0.005194805,-3.42E-10,0.005286,6.59038518,0.001497099
10/3/1997,0.001299,-0.378593233,0.009079118,2.76E-10,0.004758,4.095309946,0.001382759
10/6/1997,0.027237,0.739617235,0.01010101,3.24E-09,0.007938,7.124271763,0.007663038
10/7/1997,-0.016414,-0.137988446,0.002567394,-2.30E-09,0.010723,6.141204577,0.009641689
10/8/1997,-0.012837,0.602253571,0.00390117,-1.14E-09,-0.009439,9.839766964,-0.010173228
10/9/1997,-0.063719,0.412114991,0.002777778,-4.27E-09,-0.003306,13.89488243,-0.004163036
10/10/1997,0.040278,-0.04132204,0.009345794,2.71E-09,-0.00375,13.32071755,-0.00200954
10/13/1997,0.025367,-0.783713371,0.005208333,7.69E-09,0.001158,2.881093089,0.003356038
10/14/1997,-0.005208,0.882746581,0.002617801,-8.43E-10,0.002252,5.424368163,0.002985507
10/15/1997,-0.014398,0.550533148,0.006640106,-1.52E-09,-0.0047,8.410662643,-0.004730532
10/16/1997,-0.075697,0.454442617,0.004310345,-5.96E-09,-0.010842,12.23282619,-0.014780355
10/17/1997,0,-0.272004331,0.00862069,0,-0.01161,8.905444486,-0.011575899
10/20/1997,0.054598,0.934081657,0.002724796,2.90E-09,0.012127,17.22385683,0.009481318
10/21/1997,0.158038,1.464313872,0.002352941,2.94E-09,0.017444,42.44498931,0.017547403
10/22/1997,0.021176,-0.568251053,0.006912442,8.93E-10,-0.003898,18.32557945,-0.00320081
10/23/1997,-0.004608,0.08452302,0.009259259,-1.80E-10,-0.018379,19.87451276,-0.023249482
10/24/1997,0.116898,0.677807864,0.005181347,2.44E-09,-0.009519,33.34561381,-0.016870958
10/27/1997,-0.150259,-0.355729626,0.009756098,-5.72E-09,-0.068667,21.4835911,-0.071830328
10/28/1997,0.158537,0.922253632,0.002105263,2.71E-09,0.051164,41.29691102,0.04707306
10/29/1997,0.089474,-0.392005302,0.006763285,2.31E-09,-0.002918,25.10830295,0.001120306
10/30/1997,-0.049275,-0.331104282,0.008130081,-2.00E-09,-0.016841,16.79483633,-0.016651791
10/31/1997,-0.00813,0.05116943,0.00204918,-3.16E-10,0.012106,17.65421853,0.008182384
11/3/1997,-0.002049,-0.601274418,0.004106776,-2.00E-10,0.026645,7.039188566,0.031214281
11/4/1997,-0.022587,0.184515445,0.004201681,-1.91E-09,0.001885,8.338027579,0.001915485
11/5/1997,-0.016807,0.302859699,0.008547009,-1.11E-09,0.002126,10.8632801,0.00045519
11/6/1997,-0.043803,-0.056395575,0.006703911,-3.20E-09,-0.005017,10.25063917,-0.001221941
11/7/1997,-0.039106,-0.096818907,0.006976744,-3.29E-09,-0.011215,9.258183495,-0.013262754
11/10/1997,-0.060465,0.051971334,0.002475248,-5.15E-09,-0.006879,9.739343644,-0.003785592
11/11/1997,-0.061881,0.558017136,0.005277045,-3.61E-09,0.002877,15.17406429,0.000807682
11/12/1997,-0.044855,1.007780951,0.005524862,-1.36E-09,-0.01929,30.46619724,-0.020823738
11/13/1997,0.023481,-0.504379599,0.013495277,1.41E-09,0.011811,15.09966889,0.011687136
11/14/1997,0.079622,0.36446707,0.0075,3.24E-09,0.012753,20.60300096,0.01131176
11/17/1997,0.05,0.26208228,0.007142857,1.54E-09,0.019228,26.00268243,0.016599564
11/18/1997,0.009524,-0.748061728,0.001179245,1.15E-09,-0.008423,6.551070875,-0.006157334
11/19/1997,0.021226,0.358351141,0.006928406,1.85E-09,0.006779,8.898654596,0.009659172
11/20/1997,0.016166,1.330370726,0.002272727,5.94E-10,0.015234,20.73716417,0.013191438
11/21/1997,-0.020455,-0.559288394,0.002320186,-1.74E-09,0.004286,9.139108932,0.006959564
11/24/1997,-0.058005,-0.222091263,0.004926108,-6.74E-09,-0.017049,7.109392682,-0.014359716
11/25/1997,-0.006158,0.631388432,0.002478315,-4.41E-10,0.004384,11.59818098,0.005291018
11/26/1997,0.013631,-0.506311411,0.004889976,1.95E-09,0.000862,5.725889601,-0.00181844
11/28/1997,-0.031785,-0.014859385,0.002525253,-4.77E-09,0.003951,5.640806404,0.003630663
12/1/1997,0.035354,0.484485526,0.009756098,3.45E-09,0.020274,8.373695461,0.024287047
12/2/1997,-0.008537,-0.470533766,0.006150062,-1.59E-09,-0.00317,4.433589002,0.000711299
12/3/1997,0.03075,0.020202116,0.00477327,5.44E-09,0.005238,4.52315688,0.001646156
12/4/1997,0.031026,1.360644193,0.006944444,2.26E-09,-0.003757,10.67756402,0.002265961
12/5/1997,0.020833,-0.126022547,0.009070295,1.70E-09,0.010986,9.331950207,0.012285397
12/8/1997,0.024943,0.789756165,0.004424779,1.11E-09,-0.001443,16.70191542,-0.004699941
12/9/1997,-0.004425,-0.719825542,0.006666667,-7.05E-10,-0.006708,4.679450103,-0.007533118
12/10/1997,-0.037778,0.083486345,0.011547344,-5.77E-09,-0.006139,5.07012029,-0.00880783
12/11/1997,0.039261,2.46741287,0.008888889,1.66E-09,-0.015313,17.58020034,-0.016268086
12/12/1997,-0.031111,-0.466255489,0.009174312,-2.55E-09,-0.001623,9.383335429,-0.001363256
12/15/1997,0.009174,-0.362346288,0.006818182,1.17E-09,0.010489,5.983318664,0.010754921
12/16/1997,-0.027273,-0.011880411,0.007009346,-3.61E-09,0.004827,5.912234377,0.006778041
12/17/1997,-0.015187,2.645895364,0.010676157,-5.60E-10,-0.002583,21.5553879,-0.002369508
12/18/1997,-0.022539,-0.47838768,0.006067961,-1.63E-09,-0.010605,11.24355589,-0.013936701
12/19/1997,0.048544,0.484768508,0.016203704,2.26E-09,-0.008919,16.69407771,-0.011495596
12/22/1997,0.043981,-0.084797039,0.012195122,2.14E-09,0.007309,15.27846934,0.00812243
12/23/1997,-0.015521,-0.72824933,0.004504505,-2.82E-09,-0.015288,4.151934281,-0.016305808
12/24/1997,-0.004505,0.969493544,0.004524887,-4.18E-10,-0.006836,8.177207762,-0.004117362
12/26/1997,-0.0181,-0.791281394,0.013824885,-8.19E-09,0.004031,1.706735404,0.002502558
12/29/1997,0.050691,4.24424744,0.00877193,4.16E-09,0.018047,8.950542772,0.014727918
12/30/1997,0.020833,1.45907535,0.001074114,6.82E-10,0.018335,22.0100591,0.015861621
12/31/1997,0.035446,-0.289131619,0.001037344,1.58E-09,-0.000422,15.59527092,-0.000972738
1/2/1998,-0.012448,-0.6262751,0.012605042,-1.50E-09,0.00475,5.828341062,0.007169707
1/5/1998,-0.042017,1.155247181,0.002192982,-2.45E-09,0.002082,12.56151565,0.00175769
1/6/1998,0.01864,0.160902606,0.005382131,9.20E-10,-0.010736,14.58269624,-0.009117684
1/7/1998,-0.011841,-0.347218005,0.005446623,-9.06E-10,-0.002669,9.519321552,-0.000499629
1/8/1998,-0.034858,1.207066496,0.004514673,-1.25E-09,-0.008257,21.00977566,-0.012616543
1/9/1998,-0.076749,0.104362402,0.006112469,-2.70E-09,-0.029654,23.20240632,-0.028477712
1/12/1998,0.00978,0.113277733,0.004842615,3.06E-10,0.012418,25.83072231,0.008812239
1/13/1998,0.079903,-0.010876421,0.005605381,2.34E-09,0.013746,25.5497765,0.01110209
1/14/1998,0.049327,0.163926519,0.002136752,1.18E-09,0.006113,29.73806241,0.006802822
1/15/1998,0.016026,-0.293526635,0.001051525,5.36E-10,-0.007527,21.00914902,-0.011933715
1/16/1998,-0.032597,-0.570040326,0.008695652,-2.62E-09,0.011339,9.033086853,0.008021555
1/20/1998,0.033696,1.117678344,0.001051525,1.24E-09,0.017774,19.12917241,0.015425304
1/21/1998,0.024185,0.593695061,0.002053388,5.44E-10,-0.00796,30.48606759,-0.009996087
